,data3,data2,hour,PM2.5,newi
9090,Wednsday,1-14-2015,17,207,54
9092,Wednsday,1-14-2015,19,202,54
9094,Wednsday,1-14-2015,21,243,54
9096,Wednsday,1-14-2015,23,251,54
9242,Wednsday,1-21-2015,1,14,55
9244,Wednsday,1-21-2015,3,12,55
9246,Wednsday,1-21-2015,5,12,55
9248,Wednsday,1-21-2015,7,12,55
9250,Wednsday,1-21-2015,9,14,55
9252,Wednsday,1-21-2015,11,12,55
9254,Wednsday,1-21-2015,13,13,55
9256,Wednsday,1-21-2015,15,8,55
9258,Wednsday,1-21-2015,17,8,55
9260,Wednsday,1-21-2015,19,17,55
9262,Wednsday,1-21-2015,21,27,55
9264,Wednsday,1-21-2015,23,37,55
9410,Wednsday,1-28-2015,1,32,56
9412,Wednsday,1-28-2015,3,21,56
9414,Wednsday,1-28-2015,5,13,56
9416,Wednsday,1-28-2015,7,7,56
9418,Wednsday,1-28-2015,9,10,56
9420,Wednsday,1-28-2015,11,16,56
9422,Wednsday,1-28-2015,13,14,56
9424,Wednsday,1-28-2015,15,26,56
9426,Wednsday,1-28-2015,17,35,56
9428,Wednsday,1-28-2015,19,39,56
9430,Wednsday,1-28-2015,21,34,56
9432,Wednsday,1-28-2015,23,73,56
9578,Wednsday,2-4-2015,1,12,57
9580,Wednsday,2-4-2015,3,13,57
9582,Wednsday,2-4-2015,5,9,57
9584,Wednsday,2-4-2015,7,7,57
9586,Wednsday,2-4-2015,9,9,57
9588,Wednsday,2-4-2015,11,9,57
9590,Wednsday,2-4-2015,13,8,57
9592,Wednsday,2-4-2015,15,11,57
9594,Wednsday,2-4-2015,17,7,57
9596,Wednsday,2-4-2015,19,5,57
9598,Wednsday,2-4-2015,21,6,57
9600,Wednsday,2-4-2015,23,5,57
9746,Wednsday,2-11-2015,1,49,58
9748,Wednsday,2-11-2015,3,89,58
9750,Wednsday,2-11-2015,5,159,58
9752,Wednsday,2-11-2015,7,36,58
9754,Wednsday,2-11-2015,9,21,58
9756,Wednsday,2-11-2015,11,27,58
9758,Wednsday,2-11-2015,13,25,58
9760,Wednsday,2-11-2015,15,16,58
9762,Wednsday,2-11-2015,17,15,58
9766,Wednsday,2-11-2015,21,12,58
9768,Wednsday,2-11-2015,23,9,58
9914,Wednsday,2-18-2015,1,78,59
9916,Wednsday,2-18-2015,3,42,59
9918,Wednsday,2-18-2015,5,29,59
9920,Wednsday,2-18-2015,7,13,59
9922,Wednsday,2-18-2015,9,16,59
9924,Wednsday,2-18-2015,11,15,59
9926,Wednsday,2-18-2015,13,9,59
9928,Wednsday,2-18-2015,15,6,59
9930,Wednsday,2-18-2015,17,15,59
9932,Wednsday,2-18-2015,19,14,59
9934,Wednsday,2-18-2015,21,163,59
9936,Wednsday,2-18-2015,23,123,59
10082,Wednsday,2-25-2015,1,180,60
10084,Wednsday,2-25-2015,3,199,60
10086,Wednsday,2-25-2015,5,208,60
10088,Wednsday,2-25-2015,7,11,60
10090,Wednsday,2-25-2015,9,7,60
10092,Wednsday,2-25-2015,11,13,60
10094,Wednsday,2-25-2015,13,18,60
10096,Wednsday,2-25-2015,15,18,60
10098,Wednsday,2-25-2015,17,11,60
10100,Wednsday,2-25-2015,19,9,60
10102,Wednsday,2-25-2015,21,18,60
10104,Wednsday,2-25-2015,23,44,60
10250,Wednsday,3-4-2015,1,13,61
10252,Wednsday,3-4-2015,3,15,61
10254,Wednsday,3-4-2015,5,16,61
10256,Wednsday,3-4-2015,7,16,61
10258,Wednsday,3-4-2015,9,21,61
10260,Wednsday,3-4-2015,11,19,61
10262,Wednsday,3-4-2015,13,11,61
10264,Wednsday,3-4-2015,15,23,61
10266,Wednsday,3-4-2015,17,23,61
10268,Wednsday,3-4-2015,19,30,61
10270,Wednsday,3-4-2015,21,50,61
10272,Wednsday,3-4-2015,23,59,61
10418,Wednsday,3-11-2015,1,83,62
10420,Wednsday,3-11-2015,3,110,62
10422,Wednsday,3-11-2015,5,86,62
10424,Wednsday,3-11-2015,7,76,62
10426,Wednsday,3-11-2015,9,29,62
10428,Wednsday,3-11-2015,11,16,62
10430,Wednsday,3-11-2015,13,10,62
10432,Wednsday,3-11-2015,15,13,62
10434,Wednsday,3-11-2015,17,19,62
10436,Wednsday,3-11-2015,19,27,62
10438,Wednsday,3-11-2015,21,36,62
10440,Wednsday,3-11-2015,23,58,62
10586,Wednsday,3-18-2015,1,29,63
10588,Wednsday,3-18-2015,3,24,63
10590,Wednsday,3-18-2015,5,26,63
10592,Wednsday,3-18-2015,7,26,63
10594,Wednsday,3-18-2015,9,31,63
10596,Wednsday,3-18-2015,11,34,63
10598,Wednsday,3-18-2015,13,33,63
10600,Wednsday,3-18-2015,15,43,63
10602,Wednsday,3-18-2015,17,51,63
10604,Wednsday,3-18-2015,19,63,63
10606,Wednsday,3-18-2015,21,79,63
10608,Wednsday,3-18-2015,23,97,63
10754,Wednsday,3-25-2015,1,135,64
10756,Wednsday,3-25-2015,3,125,64
10758,Wednsday,3-25-2015,5,115,64
10760,Wednsday,3-25-2015,7,116,64
10762,Wednsday,3-25-2015,9,129,64
10764,Wednsday,3-25-2015,11,138,64
10766,Wednsday,3-25-2015,13,163,64
10768,Wednsday,3-25-2015,15,110,64
10770,Wednsday,3-25-2015,17,88,64
10772,Wednsday,3-25-2015,19,90,64
10774,Wednsday,3-25-2015,21,134,64
10776,Wednsday,3-25-2015,23,98,64
10922,Wednsday,4-1-2015,1,70,65
10924,Wednsday,4-1-2015,3,81,65
10926,Wednsday,4-1-2015,5,89,65
10928,Wednsday,4-1-2015,7,64,65
10930,Wednsday,4-1-2015,9,68,65
10934,Wednsday,4-1-2015,13,27,65
10936,Wednsday,4-1-2015,15,33,65
10938,Wednsday,4-1-2015,17,36,65
10940,Wednsday,4-1-2015,19,40,65
10942,Wednsday,4-1-2015,21,38,65
10944,Wednsday,4-1-2015,23,46,65
11090,Wednsday,4-8-2015,1,71,66
11092,Wednsday,4-8-2015,3,77,66
11094,Wednsday,4-8-2015,5,73,66
11096,Wednsday,4-8-2015,7,95,66
11098,Wednsday,4-8-2015,9,104,66
11100,Wednsday,4-8-2015,11,102,66
11102,Wednsday,4-8-2015,13,73,66
11104,Wednsday,4-8-2015,15,99,66
11106,Wednsday,4-8-2015,17,111,66
11108,Wednsday,4-8-2015,19,127,66
11110,Wednsday,4-8-2015,21,138,66
11112,Wednsday,4-8-2015,23,139,66
11258,Wednsday,4-15-2015,1,61,67
11260,Wednsday,4-15-2015,3,100,67
11262,Wednsday,4-15-2015,5,83,67
11264,Wednsday,4-15-2015,7,105,67
11266,Wednsday,4-15-2015,9,169,67
11268,Wednsday,4-15-2015,11,157,67
11270,Wednsday,4-15-2015,13,173,67
11274,Wednsday,4-15-2015,17,119,67
11276,Wednsday,4-15-2015,19,243,67
11278,Wednsday,4-15-2015,21,70,67
11280,Wednsday,4-15-2015,23,83,67
11426,Wednsday,4-22-2015,1,21,68
11428,Wednsday,4-22-2015,3,53,68
11430,Wednsday,4-22-2015,5,57,68
11432,Wednsday,4-22-2015,7,61,68
11434,Wednsday,4-22-2015,9,63,68
11436,Wednsday,4-22-2015,11,36,68
11438,Wednsday,4-22-2015,13,27,68
11440,Wednsday,4-22-2015,15,34,68
11442,Wednsday,4-22-2015,17,38,68
11444,Wednsday,4-22-2015,19,52,68
11446,Wednsday,4-22-2015,21,43,68
11448,Wednsday,4-22-2015,23,45,68
11594,Wednsday,4-29-2015,1,104,69
11596,Wednsday,4-29-2015,3,119,69
11598,Wednsday,4-29-2015,5,118,69
11600,Wednsday,4-29-2015,7,122,69
11602,Wednsday,4-29-2015,9,128,69
11604,Wednsday,4-29-2015,11,143,69
11606,Wednsday,4-29-2015,13,127,69
11608,Wednsday,4-29-2015,15,112,69
11610,Wednsday,4-29-2015,17,122,69
11612,Wednsday,4-29-2015,19,131,69
11614,Wednsday,4-29-2015,21,119,69
11616,Wednsday,4-29-2015,23,102,69
11762,Wednsday,5-6-2015,1,9,70
11764,Wednsday,5-6-2015,3,22,70
11766,Wednsday,5-6-2015,5,18,70
11768,Wednsday,5-6-2015,7,14,70
11770,Wednsday,5-6-2015,9,10,70
11772,Wednsday,5-6-2015,11,10,70
11774,Wednsday,5-6-2015,13,16,70
11776,Wednsday,5-6-2015,15,17,70
11778,Wednsday,5-6-2015,17,34,70
11780,Wednsday,5-6-2015,19,29,70
11782,Wednsday,5-6-2015,21,30,70
11784,Wednsday,5-6-2015,23,35,70
11930,Wednsday,5-13-2015,1,89,71
11932,Wednsday,5-13-2015,3,70,71
11934,Wednsday,5-13-2015,5,50,71
11936,Wednsday,5-13-2015,7,29,71
11938,Wednsday,5-13-2015,9,38,71
11940,Wednsday,5-13-2015,11,35,71
11942,Wednsday,5-13-2015,13,52,71
11944,Wednsday,5-13-2015,15,91,71
11946,Wednsday,5-13-2015,17,74,71
11948,Wednsday,5-13-2015,19,136,71
11950,Wednsday,5-13-2015,21,88,71
11952,Wednsday,5-13-2015,23,95,71
12098,Wednsday,5-20-2015,1,18,72
12100,Wednsday,5-20-2015,3,43,72
12102,Wednsday,5-20-2015,5,15,72
12104,Wednsday,5-20-2015,7,10,72
12106,Wednsday,5-20-2015,9,11,72
12108,Wednsday,5-20-2015,11,18,72
12110,Wednsday,5-20-2015,13,20,72
12112,Wednsday,5-20-2015,15,55,72
12114,Wednsday,5-20-2015,17,21,72
12116,Wednsday,5-20-2015,19,19,72
12118,Wednsday,5-20-2015,21,100,72
12120,Wednsday,5-20-2015,23,51,72
12266,Wednsday,5-27-2015,1,73,73
12268,Wednsday,5-27-2015,3,88,73
12270,Wednsday,5-27-2015,5,100,73
12272,Wednsday,5-27-2015,7,109,73
12274,Wednsday,5-27-2015,9,133,73
12276,Wednsday,5-27-2015,11,131,73
12278,Wednsday,5-27-2015,13,95,73
12280,Wednsday,5-27-2015,15,77,73
12282,Wednsday,5-27-2015,17,124,73
12284,Wednsday,5-27-2015,19,82,73
12286,Wednsday,5-27-2015,21,85,73
12288,Wednsday,5-27-2015,23,120,73
12434,Wednsday,6-3-2015,1,43,74
12436,Wednsday,6-3-2015,3,35,74
12438,Wednsday,6-3-2015,5,27,74
12440,Wednsday,6-3-2015,7,41,74
12442,Wednsday,6-3-2015,9,64,74
12444,Wednsday,6-3-2015,11,50,74
12446,Wednsday,6-3-2015,13,27,74
12448,Wednsday,6-3-2015,15,34,74
12450,Wednsday,6-3-2015,17,23,74
12452,Wednsday,6-3-2015,19,29,74
12454,Wednsday,6-3-2015,21,27,74
12456,Wednsday,6-3-2015,23,36,74
12602,Wednsday,6-10-2015,1,34,75
12604,Wednsday,6-10-2015,3,51,75
12606,Wednsday,6-10-2015,5,48,75
12608,Wednsday,6-10-2015,7,38,75
12610,Wednsday,6-10-2015,9,58,75
12614,Wednsday,6-10-2015,13,45,75
12616,Wednsday,6-10-2015,15,34,75
12620,Wednsday,6-10-2015,19,54,75
12622,Wednsday,6-10-2015,21,103,75
12624,Wednsday,6-10-2015,23,74,75
12770,Wednsday,6-17-2015,1,47,76
12772,Wednsday,6-17-2015,3,46,76
12774,Wednsday,6-17-2015,5,58,76
12776,Wednsday,6-17-2015,7,60,76
12778,Wednsday,6-17-2015,9,37,76
12780,Wednsday,6-17-2015,11,35,76
12782,Wednsday,6-17-2015,13,32,76
12784,Wednsday,6-17-2015,15,26,76
12786,Wednsday,6-17-2015,17,30,76
12788,Wednsday,6-17-2015,19,39,76
12790,Wednsday,6-17-2015,21,51,76
12792,Wednsday,6-17-2015,23,62,76
12938,Wednsday,6-24-2015,1,178,77
12940,Wednsday,6-24-2015,3,104,77
12942,Wednsday,6-24-2015,5,91,77
12944,Wednsday,6-24-2015,7,120,77
12946,Wednsday,6-24-2015,9,146,77
12948,Wednsday,6-24-2015,11,148,77
12952,Wednsday,6-24-2015,15,117,77
12954,Wednsday,6-24-2015,17,91,77
12956,Wednsday,6-24-2015,19,83,77
12958,Wednsday,6-24-2015,21,87,77
12960,Wednsday,6-24-2015,23,82,77
13106,Wednsday,7-1-2015,1,26,78
13108,Wednsday,7-1-2015,3,35,78
13110,Wednsday,7-1-2015,5,34,78
13112,Wednsday,7-1-2015,7,34,78
13114,Wednsday,7-1-2015,9,30,78
13116,Wednsday,7-1-2015,11,8,78
13118,Wednsday,7-1-2015,13,11,78
13120,Wednsday,7-1-2015,15,18,78
13122,Wednsday,7-1-2015,17,8,78
13124,Wednsday,7-1-2015,19,8,78
13126,Wednsday,7-1-2015,21,5,78
13128,Wednsday,7-1-2015,23,8,78
13274,Wednsday,7-8-2015,1,88,79
13276,Wednsday,7-8-2015,3,107,79
13278,Wednsday,7-8-2015,5,141,79
13280,Wednsday,7-8-2015,7,173,79
13282,Wednsday,7-8-2015,9,193,79
13284,Wednsday,7-8-2015,11,192,79
13286,Wednsday,7-8-2015,13,153,79
13288,Wednsday,7-8-2015,15,118,79
13290,Wednsday,7-8-2015,17,119,79
13292,Wednsday,7-8-2015,19,115,79
13294,Wednsday,7-8-2015,21,77,79
13296,Wednsday,7-8-2015,23,59,79
13442,Wednsday,7-15-2015,1,21,80
13444,Wednsday,7-15-2015,3,23,80
13446,Wednsday,7-15-2015,5,25,80
13448,Wednsday,7-15-2015,7,28,80
13450,Wednsday,7-15-2015,9,36,80
13452,Wednsday,7-15-2015,11,38,80
13454,Wednsday,7-15-2015,13,43,80
13456,Wednsday,7-15-2015,15,47,80
13458,Wednsday,7-15-2015,17,43,80
13460,Wednsday,7-15-2015,19,57,80
13462,Wednsday,7-15-2015,21,52,80
13464,Wednsday,7-15-2015,23,46,80
13610,Wednsday,7-22-2015,1,58,81
13612,Wednsday,7-22-2015,3,63,81
13614,Wednsday,7-22-2015,5,85,81
13616,Wednsday,7-22-2015,7,98,81
13618,Wednsday,7-22-2015,9,97,81
13620,Wednsday,7-22-2015,11,96,81
13622,Wednsday,7-22-2015,13,86,81
13624,Wednsday,7-22-2015,15,41,81
13626,Wednsday,7-22-2015,17,62,81
13628,Wednsday,7-22-2015,19,65,81
13630,Wednsday,7-22-2015,21,9,81
13632,Wednsday,7-22-2015,23,21,81
13778,Wednsday,7-29-2015,1,93,82
13780,Wednsday,7-29-2015,3,95,82
13782,Wednsday,7-29-2015,5,65,82
13784,Wednsday,7-29-2015,7,84,82
13786,Wednsday,7-29-2015,9,94,82
13788,Wednsday,7-29-2015,11,100,82
13790,Wednsday,7-29-2015,13,102,82
13792,Wednsday,7-29-2015,15,127,82
13794,Wednsday,7-29-2015,17,135,82
13796,Wednsday,7-29-2015,19,132,82
13798,Wednsday,7-29-2015,21,100,82
13800,Wednsday,7-29-2015,23,94,82
13946,Wednsday,8-5-2015,1,70,83
13948,Wednsday,8-5-2015,3,73,83
13950,Wednsday,8-5-2015,5,92,83
13952,Wednsday,8-5-2015,7,77,83
13954,Wednsday,8-5-2015,9,103,83
13962,Wednsday,8-5-2015,17,57,83
13964,Wednsday,8-5-2015,19,64,83
13966,Wednsday,8-5-2015,21,77,83
13968,Wednsday,8-5-2015,23,22,83
14114,Wednsday,8-12-2015,1,104,84
14116,Wednsday,8-12-2015,3,97,84
14118,Wednsday,8-12-2015,5,97,84
14120,Wednsday,8-12-2015,7,106,84
14122,Wednsday,8-12-2015,9,88,84
14124,Wednsday,8-12-2015,11,63,84
14126,Wednsday,8-12-2015,13,59,84
14128,Wednsday,8-12-2015,15,48,84
14130,Wednsday,8-12-2015,17,66,84
14132,Wednsday,8-12-2015,19,75,84
14134,Wednsday,8-12-2015,21,103,84
14136,Wednsday,8-12-2015,23,109,84
14282,Wednsday,8-19-2015,1,45,85
14284,Wednsday,8-19-2015,3,38,85
14286,Wednsday,8-19-2015,5,50,85
14288,Wednsday,8-19-2015,7,60,85
14290,Wednsday,8-19-2015,9,68,85
14292,Wednsday,8-19-2015,11,79,85
14294,Wednsday,8-19-2015,13,63,85
14296,Wednsday,8-19-2015,15,48,85
14298,Wednsday,8-19-2015,17,63,85
14300,Wednsday,8-19-2015,19,63,85
14302,Wednsday,8-19-2015,21,64,85
14304,Wednsday,8-19-2015,23,30,85
14450,Wednsday,8-26-2015,1,15,86
14452,Wednsday,8-26-2015,3,12,86
14454,Wednsday,8-26-2015,5,14,86
14456,Wednsday,8-26-2015,7,14,86
14458,Wednsday,8-26-2015,9,11,86
14460,Wednsday,8-26-2015,11,13,86
14462,Wednsday,8-26-2015,13,12,86
14464,Wednsday,8-26-2015,15,9,86
14466,Wednsday,8-26-2015,17,5,86
14468,Wednsday,8-26-2015,19,11,86
14470,Wednsday,8-26-2015,21,14,86
14472,Wednsday,8-26-2015,23,12,86
14618,Wednsday,9-2-2015,1,18,87
14620,Wednsday,9-2-2015,3,11,87
14622,Wednsday,9-2-2015,5,10,87
14624,Wednsday,9-2-2015,7,12,87
14626,Wednsday,9-2-2015,9,14,87
14628,Wednsday,9-2-2015,11,7,87
14630,Wednsday,9-2-2015,13,6,87
14632,Wednsday,9-2-2015,15,5,87
14634,Wednsday,9-2-2015,17,5,87
14636,Wednsday,9-2-2015,19,6,87
14638,Wednsday,9-2-2015,21,14,87
14640,Wednsday,9-2-2015,23,12,87
14786,Wednsday,9-9-2015,1,76,88
14788,Wednsday,9-9-2015,3,67,88
14790,Wednsday,9-9-2015,5,61,88
14792,Wednsday,9-9-2015,7,47,88
14794,Wednsday,9-9-2015,9,60,88
14796,Wednsday,9-9-2015,11,47,88
14798,Wednsday,9-9-2015,13,27,88
14800,Wednsday,9-9-2015,15,19,88
14802,Wednsday,9-9-2015,17,13,88
14804,Wednsday,9-9-2015,19,10,88
14806,Wednsday,9-9-2015,21,9,88
14808,Wednsday,9-9-2015,23,11,88
14954,Wednsday,9-16-2015,1,131,89
14956,Wednsday,9-16-2015,3,165,89
14958,Wednsday,9-16-2015,5,154,89
14962,Wednsday,9-16-2015,9,98,89
14964,Wednsday,9-16-2015,11,177,89
14966,Wednsday,9-16-2015,13,143,89
14968,Wednsday,9-16-2015,15,101,89
14972,Wednsday,9-16-2015,19,99,89
14974,Wednsday,9-16-2015,21,117,89
15122,Wednsday,9-23-2015,1,27,90
15124,Wednsday,9-23-2015,3,27,90
15126,Wednsday,9-23-2015,5,18,90
15128,Wednsday,9-23-2015,7,18,90
15130,Wednsday,9-23-2015,9,18,90
15132,Wednsday,9-23-2015,11,23,90
15134,Wednsday,9-23-2015,13,27,90
15136,Wednsday,9-23-2015,15,34,90
15138,Wednsday,9-23-2015,17,33,90
15140,Wednsday,9-23-2015,19,39,90
15142,Wednsday,9-23-2015,21,51,90
15144,Wednsday,9-23-2015,23,65,90
15290,Wednsday,9-30-2015,1,23,91
15292,Wednsday,9-30-2015,3,24,91
15294,Wednsday,9-30-2015,5,26,91
15296,Wednsday,9-30-2015,7,18,91
15298,Wednsday,9-30-2015,9,35,91
15300,Wednsday,9-30-2015,11,33,91
15302,Wednsday,9-30-2015,13,27,91
15304,Wednsday,9-30-2015,15,24,91
15306,Wednsday,9-30-2015,17,22,91
15308,Wednsday,9-30-2015,19,36,91
15310,Wednsday,9-30-2015,21,32,91
15312,Wednsday,9-30-2015,23,31,91
15458,Wednsday,10-7-2015,1,401,92
15460,Wednsday,10-7-2015,3,362,92
15462,Wednsday,10-7-2015,5,327,92
15464,Wednsday,10-7-2015,7,298,92
15466,Wednsday,10-7-2015,9,302,92
15468,Wednsday,10-7-2015,11,296,92
15470,Wednsday,10-7-2015,13,347,92
15472,Wednsday,10-7-2015,15,320,92
15474,Wednsday,10-7-2015,17,261,92
15476,Wednsday,10-7-2015,19,298,92
15478,Wednsday,10-7-2015,21,108,92
15480,Wednsday,10-7-2015,23,11,92
15626,Wednsday,10-14-2015,1,91,93
15628,Wednsday,10-14-2015,3,100,93
15630,Wednsday,10-14-2015,5,104,93
15632,Wednsday,10-14-2015,7,87,93
15634,Wednsday,10-14-2015,9,90,93
15636,Wednsday,10-14-2015,11,114,93
15638,Wednsday,10-14-2015,13,112,93
15640,Wednsday,10-14-2015,15,83,93
15642,Wednsday,10-14-2015,17,104,93
15644,Wednsday,10-14-2015,19,122,93
15646,Wednsday,10-14-2015,21,136,93
15648,Wednsday,10-14-2015,23,138,93
15794,Wednsday,10-21-2015,1,64,94
15796,Wednsday,10-21-2015,3,48,94
15798,Wednsday,10-21-2015,5,47,94
15800,Wednsday,10-21-2015,7,42,94
15802,Wednsday,10-21-2015,9,37,94
15804,Wednsday,10-21-2015,11,37,94
15806,Wednsday,10-21-2015,13,42,94
15808,Wednsday,10-21-2015,15,52,94
15810,Wednsday,10-21-2015,17,39,94
15812,Wednsday,10-21-2015,19,39,94
15814,Wednsday,10-21-2015,21,46,94
15816,Wednsday,10-21-2015,23,70,94
15962,Wednsday,10-28-2015,1,4,95
15964,Wednsday,10-28-2015,3,3,95
15966,Wednsday,10-28-2015,5,3,95
15968,Wednsday,10-28-2015,7,8,95
15970,Wednsday,10-28-2015,9,5,95
15972,Wednsday,10-28-2015,11,6,95
15974,Wednsday,10-28-2015,13,10,95
15976,Wednsday,10-28-2015,15,7,95
15978,Wednsday,10-28-2015,17,8,95
15980,Wednsday,10-28-2015,19,8,95
15982,Wednsday,10-28-2015,21,8,95
15984,Wednsday,10-28-2015,23,7,95
16130,Wednsday,11-4-2015,1,177,96
16132,Wednsday,11-4-2015,3,193,96
16134,Wednsday,11-4-2015,5,217,96
16136,Wednsday,11-4-2015,7,210,96
16138,Wednsday,11-4-2015,9,209,96
16140,Wednsday,11-4-2015,11,222,96
16142,Wednsday,11-4-2015,13,252,96
16144,Wednsday,11-4-2015,15,253,96
16146,Wednsday,11-4-2015,17,3,96
16148,Wednsday,11-4-2015,19,245,96
16150,Wednsday,11-4-2015,21,242,96
16152,Wednsday,11-4-2015,23,243,96
16298,Wednsday,11-11-2015,1,167,97
16300,Wednsday,11-11-2015,3,141,97
16302,Wednsday,11-11-2015,5,142,97
16304,Wednsday,11-11-2015,7,119,97
16306,Wednsday,11-11-2015,9,101,97
16308,Wednsday,11-11-2015,11,86,97
16310,Wednsday,11-11-2015,13,81,97
16312,Wednsday,11-11-2015,15,96,97
16314,Wednsday,11-11-2015,17,95,97
16316,Wednsday,11-11-2015,19,125,97
16318,Wednsday,11-11-2015,21,132,97
16320,Wednsday,11-11-2015,23,127,97
16466,Wednsday,11-18-2015,1,56,98
16468,Wednsday,11-18-2015,3,45,98
16470,Wednsday,11-18-2015,5,40,98
16472,Wednsday,11-18-2015,7,49,98
16474,Wednsday,11-18-2015,9,45,98
16476,Wednsday,11-18-2015,11,64,98
16478,Wednsday,11-18-2015,13,63,98
16480,Wednsday,11-18-2015,15,77,98
16482,Wednsday,11-18-2015,17,82,98
16484,Wednsday,11-18-2015,19,88,98
16486,Wednsday,11-18-2015,21,95,98
16488,Wednsday,11-18-2015,23,98,98
16634,Wednsday,11-25-2015,1,70,99
16636,Wednsday,11-25-2015,3,93,99
16638,Wednsday,11-25-2015,5,91,99
16640,Wednsday,11-25-2015,7,92,99
16642,Wednsday,11-25-2015,9,96,99
16644,Wednsday,11-25-2015,11,104,99
16646,Wednsday,11-25-2015,13,65,99
16648,Wednsday,11-25-2015,15,15,99
16650,Wednsday,11-25-2015,17,12,99
16652,Wednsday,11-25-2015,19,11,99
16654,Wednsday,11-25-2015,21,13,99
16656,Wednsday,11-25-2015,23,10,99
16806,Wednsday,12-2-2015,5,7,100
16808,Wednsday,12-2-2015,7,6,100
16810,Wednsday,12-2-2015,9,7,100
16812,Wednsday,12-2-2015,11,3,100
16814,Wednsday,12-2-2015,13,5,100
16816,Wednsday,12-2-2015,15,6,100
16818,Wednsday,12-2-2015,17,5,100
16820,Wednsday,12-2-2015,19,8,100
16822,Wednsday,12-2-2015,21,3,100
16824,Wednsday,12-2-2015,23,7,100
16970,Wednsday,12-9-2015,1,266,101
16972,Wednsday,12-9-2015,3,238,101
16974,Wednsday,12-9-2015,5,225,101
16976,Wednsday,12-9-2015,7,220,101
16978,Wednsday,12-9-2015,9,210,101
16980,Wednsday,12-9-2015,11,228,101
16982,Wednsday,12-9-2015,13,265,101
16984,Wednsday,12-9-2015,15,252,101
16986,Wednsday,12-9-2015,17,303,101
16988,Wednsday,12-9-2015,19,303,101
16990,Wednsday,12-9-2015,21,273,101
16992,Wednsday,12-9-2015,23,265,101
17138,Wednsday,12-16-2015,1,5,102
17140,Wednsday,12-16-2015,3,7,102
17142,Wednsday,12-16-2015,5,3,102
17144,Wednsday,12-16-2015,7,3,102
17146,Wednsday,12-16-2015,9,6,102
17148,Wednsday,12-16-2015,11,7,102
17150,Wednsday,12-16-2015,13,8,102
17152,Wednsday,12-16-2015,15,3,102
17154,Wednsday,12-16-2015,17,5,102
17156,Wednsday,12-16-2015,19,13,102
17158,Wednsday,12-16-2015,21,6,102
17160,Wednsday,12-16-2015,23,11,102
17306,Wednsday,12-23-2015,1,344,103
17308,Wednsday,12-23-2015,3,347,103
17310,Wednsday,12-23-2015,5,340,103
17312,Wednsday,12-23-2015,7,319,103
17314,Wednsday,12-23-2015,9,344,103
17316,Wednsday,12-23-2015,11,257,103
17318,Wednsday,12-23-2015,13,175,103
17320,Wednsday,12-23-2015,15,104,103
17322,Wednsday,12-23-2015,17,92,103
17326,Wednsday,12-23-2015,21,165,103
17328,Wednsday,12-23-2015,23,162,103
17474,Wednsday,12-30-2015,1,472,104
17476,Wednsday,12-30-2015,3,382,104
17478,Wednsday,12-30-2015,5,107,104
17480,Wednsday,12-30-2015,7,15,104
17482,Wednsday,12-30-2015,9,11,104
17484,Wednsday,12-30-2015,11,11,104
17486,Wednsday,12-30-2015,13,7,104
17488,Wednsday,12-30-2015,15,7,104
17490,Wednsday,12-30-2015,17,7,104
17492,Wednsday,12-30-2015,19,16,104
17494,Wednsday,12-30-2015,21,14,104
17496,Wednsday,12-30-2015,23,22,104
